day,case_by_day,death_by_day,twice_injected_by_time,residential_percent_change_from_baseline
13/09/2021,5446,228,1542655,19
14/09/2021,6312,199,1645980,18
15/09/2021,5301,189,1732155,16
16/09/2021,5735,160,1835394,14
17/09/2021,5972,166,1835394,19
18/09/2021,4237,165,1906067,19
19/09/2021,5496,182,1975631,16
20/09/2021,5171,163,2008147,16
22/09/2021,5435,181,2135185,12
23/09/2021,5052,175,2135185,11
24/09/2021,3786,140,2210453,17
25/09/2021,4046,124,2290913,17
26/09/2021,5121,131,2478071,13
27/09/2021,4134,122,2835611,13
28/09/2021,377,131,2835611,12
29/09/2021,4699,113,3343191,11
30/09/2021,4372,106,3529562,8
01/10/2021,3670,95,3529562,11
02/10/2021,2723,123,3691289,11
03/10/2021,2461,79,3917431,8
04/10/2021,2490,93,4180204,7
05/10/2021,1491,104,4465356,6
06/10/2021,1960,88,4658994,5
07/10/2021,1730,92,4779497,3
08/10/2021,2215,78,4884948,8
09/10/2021,1662,74,4928300,9
10/10/2021,1067,82,5187545,9
11/10/2021,1527,75,5187545,7
12/10/2021,1018,64,5239924,3
13/10/2021,1162,73,5288112,3
14/10/2021,909,61,5359653,1
15/10/2021,1131,61,5359653,6
16/10/2021,790,58,5359653,6
17/10/2021,1059,38,5436692,4
18/10/2021,968,51,5436692,2
19/10/2021,907,47,5516814,0
20/10/2021,1347,43,5534222,-2
21/10/2021,1255,41,5534222,-2
22/10/2021,1205,33,5571051,2
23/10/2021,749,42,5590251,3
24/10/2021,966,30,5600938,1
25/10/2021,969,40,5600938,0
26/10/2021,783,27,5635370,-1
27/10/2021,1140,32,5666805,-1
28/10/2021,1069,25,5684188,-2
29/10/2021,977,32,5684188,2
30/10/2021,1042,30,5694757,3
31/10/2021,1041,21,5709948,1
01/11/2021,927,25,5709948,0
02/11/2021,682,31,5738374,-1
03/11/2021,985,40,5756375,-2
04/11/2021,981,28,5777289,-4
05/11/2021,912,33,5777289,1
06/11/2021,986,32,5795401,1
07/11/2021,1009,31,5825213,1
08/11/2021,1316,35,5836826,0
09/11/2021,1276,38,5853933,0
10/11/2021,1414,43,5853933,-2
11/11/2021,1185,38,5894955,-3
12/11/2021,1388,42,5894955,1
13/11/2021,1240,38,5932203,2
14/11/2021,985,22,5946101,2
15/11/2021,1165,45,5946101,0
16/11/2021,1183,35,5969572,0
17/11/2021,1337,26,5980854,-1
18/11/2021,1609,42,5980854,-3
19/11/2021,1339,55,6013801,1
20/11/2021,1046,42,6033488,2
21/11/2021,1265,0,6044189,1
22/11/2021,1547,109,6044189,0
24/11/2021,1666,62,6167363,-1
25/11/2021,1582,50,6287858,-3
26/11/2021,1809,51,6401698,1
28/11/2021,1454,62,6547118,2
29/11/2021,1554,51,6634059,1
30/11/2021,1497,59,6678298,1
01/12/2021,1675,61,6708819,-1
02/12/2021,1738,71,6708819,-3
03/12/2021,1311,61,6752631,1
04/12/2021,1636,64,6782865,2
05/12/2021,1491,65,6790046,1
06/12/2021,1174,86,6790046,0
08/12/2021,1475,66,6795458,-2
09/12/2021,1453,64,6821987,-4
10/12/2021,1226,61,6826335,0
11/12/2021,1441,60,6826335,0
12/12/2021,1216,69,6840967,0
13/12/2021,915,65,6840967,-2
14/12/2021,991,59,6843783,-2
15/12/2021,1270,63,6854632,-4
16/12/2021,1175,58,6861558,-5
17/12/2021,1040,49,6869639,-1
18/12/2021,1019,0,6869639,0
19/12/2021,1014,52,6876899,0
21/12/2021,813,46,6882709,-3
22/12/2021,979,39,7084769,-4
23/12/2021,787,34,7084769,-6
24/12/2021,679,35,7094790,-2
25/12/2021,885,35,7111994,-1
26/12/2021,544,32,7111994,0
27/12/2021,560,24,7118291,-2
28/12/2021,671,29,7125264,-3
29/12/2021,702,37,7136245,-4
30/12/2021,697,30,7147477,-6
31/12/2021,557,27,7147477,-3
1/1/2022,569,27,7147477,
2/1/2022,384,52,7147477,
3/1/2022,662,25,7147477,
4/1/2022,664,21,7147477,
5/1/2022,448,20,7189470,
6/1/2022,442,18,7249758,
7/1/2022,489,18,7249758,
8/1/2022,436,11,7249758,
9/1/2022,472,15,7249758,
10/1/2022,437,17,7306273,
11/1/2022,558,11,7306273,
12/1/2022,696,14,7327366,
13/1/2022,0,0,7327366,
